loc_rowid,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_eqt
2642,Transit,2020,Kepler,4.16787000,1.326,0.118,2.32000,0.00729,5.470000,962
2643,Transit,2020,Kepler,150.87800000,2.970,0.265,9.11000,0.02870,1.910000,423
2644,Transit,2020,Kepler,33.78880000,2.936,0.262,8.93000,0.02810,1.940000,611
2645,Transit,2020,Kepler,62.56110000,3.206,0.286,10.40000,0.03260,1.730000,417
2646,Transit,2020,Kepler,63.03820000,3.125,0.279,9.93000,0.03130,1.790000,465
2647,Transit,2020,Kepler,29.92210000,3.377,0.301,11.30000,0.03570,1.610000,782
2648,Transit,2020,Kepler,22.06400000,2.702,0.241,7.76000,0.02440,2.160000,712
2649,Transit,2020,Kepler,147.97400000,3.304,0.295,10.90000,0.03440,1.660000,329
2650,Transit,2020,Kepler,9.75376000,2.069,0.185,4.93000,0.01550,3.060000,813
2651,Transit,2014,Kepler,4.42539100,1.460,0.130,2.73000,0.00859,4.820000,1240
2652,Transit,2014,Kepler,13.19324200,2.690,0.240,7.70000,0.02420,2.170000,862
2653,Transit,2020,Kepler,8.77424000,1.360,0.121,2.42000,0.00761,5.290000,771
2654,Transit,2020,Kepler,69.89560000,2.553,0.228,7.05000,0.02220,2.330000,442
2655,Transit,2020,Kepler,14.83340000,2.889,0.258,8.70000,0.02740,1.980000,694
2656,Transit,2020,Kepler,15.03370000,1.875,0.167,4.17000,0.01310,3.480000,669
2657,Transit,2020,Kepler,47.70550000,2.871,0.256,8.60000,0.02710,2.000000,347
2658,Transit,2020,Kepler,20.49050000,2.577,0.230,7.16000,0.02250,2.300000,625
2659,Transit,2020,Kepler,9.30987000,1.426,0.127,2.62000,0.00825,4.970000,913
2660,Transit,2020,Kepler,5.77954000,1.656,0.148,3.38000,0.01060,4.090000,598
2661,Transit,2020,Kepler,5.62012000,1.262,0.113,2.13000,0.00670,5.830000,772
2662,Transit,2020,Kepler,8.48300000,0.947,0.084,0.79900,0.00251,5.170000,879
2663,Transit,2014,Kepler,3.25061900,1.130,0.101,1.51000,0.00474,5.750000,962
2664,Transit,2014,Kepler,6.19546900,1.210,0.108,1.92000,0.00606,5.960000,776
2665,Transit,2014,Kepler,8.34812500,1.250,0.112,2.10000,0.00660,5.910000,702
2666,Transit,2014,Kepler,13.76710200,2.200,0.196,5.48000,0.01720,2.830000,595
2667,Transit,2014,Kepler,87.09019500,2.580,0.230,7.18000,0.02260,2.300000,321
2668,Transit,2020,Kepler,234.63600000,2.811,0.251,8.30000,0.02610,2.050000,267
2669,Transit,2020,Kepler,3.84820000,1.835,0.164,4.02000,0.01270,3.580000,1283
2670,Transit,2020,Kepler,5.95966000,1.112,0.099,1.42000,0.00447,5.680000,897
2671,Transit,2020,Kepler,12.09990000,1.289,0.115,2.21000,0.00695,5.670000,807
2672,Transit,2021,Kepler,5.36370993,0.977,0.087,0.89400,0.00281,5.270000,1059
2673,Transit,2020,Kepler,3.89526000,1.180,0.105,1.76000,0.00553,5.890000,956
2674,Transit,2020,Kepler,4.73290000,1.119,0.100,1.46000,0.00458,5.720000,957
